Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,source
Kingsley Coman,243714,€30.00m,"Jun 5, 2025","Jun 13, 1996",29,1.81,France,[],Left Winger,,Bayern Munich,,,"Jul 1, 2017","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Benjamin Leneis,381250,€50k,"Jun 23, 2025","Mar 8, 1999",26,1.95,Germany,[],Goalkeeper,,Without Club,FSV Zwickau,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Almamy Touré,216181,€600k,"Jun 19, 2025","Apr 28, 1996",29,1.81,Mali,[],Centre-Back,,Without Club,1.FC K'lautern,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ayman Azhil,452068,€700k,"Jun 11, 2025","Apr 10, 2001",24,1.75,Morocco,[],Defensive Midfield,,B. Dortmund II,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Daniel Katic,692049,€75k,"Jun 22, 2025","Apr 26, 2003",22,1.85,Croatia,[],Centre-Back,,HSK Posusje,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lucas Laux,584062,€75k,"Jun 11, 2025","Oct 14, 2002",22,1.83,Germany,[],Centre-Back,,Eintracht Trier,,,"Jul 10, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Omar Marmoush,445939,€75.00m,"May 30, 2025","Feb 7, 1999",26,1.83,Egypt,"['Egypt', 'Canada']",Centre-Forward,"                0
0     Left Winger
1  Second Striker",Man City,,,"Jan 23, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Felix Passlack,274461,€2.00m,"Jun 5, 2025","May 29, 1998",27,1.7,Germany,[],Right-Back,,VfL Bochum,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonathan Tah,196357,€30.00m,"Jun 5, 2025","Feb 11, 1996",29,1.95,Germany,[],Centre-Back,,Bayern Munich,,,"Jun 9, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Gabriel Vidovic,604327,€3.00m,"Jun 5, 2025","Dec 1, 2003",21,1.8,Croatia,[],Second Striker,,Dinamo Zagreb,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sebastian Rudy,57051,,,"Feb 28, 1990",35,1.8,Germany,[],Defensive Midfield,,Retired,TSG Hoffenheim,"Jul 1, 2023",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Callum Hudson-Odoi,392768,€25.00m,"May 30, 2025","Nov 7, 2000",24,1.78,England,[],Left Winger,,Forest,,,"Sep 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Justin Janitzek,639580,€250k,"Jun 11, 2025","Feb 10, 2004",21,1.92,Germany,[],Centre-Back,,Wehen Wiesbaden,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Raphaël Guerreiro,170986,€8.00m,"Jun 5, 2025","Dec 22, 1993",31,1.7,Portugal,[],Left-Back,,Bayern Munich,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Matthijs de Ligt,326031,€38.00m,"May 30, 2025","Aug 12, 1999",25,1.89,Netherlands,[],Centre-Back,,Man Utd,,,"Aug 13, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sven Ulreich,40680,€500k,"Jun 5, 2025","Aug 3, 1988",36,1.92,Germany,['Germany'],Goalkeeper,,Bayern Munich,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dayot Upamecano,344695,€50.00m,"Jun 5, 2025","Oct 27, 1998",26,1.86,France,"['Guinea-Bissau', 'France']",Centre-Back,,Bayern Munich,,,"Jul 5, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Eduardo Quaresma,504073,€18.00m,"May 30, 2025","Mar 2, 2002",23,1.85,Portugal,[],Centre-Back,,Sporting CP,,,"Mar 1, 2020","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Eric-Maxim Choupo-Moting,45660,€1.50m,"Jun 5, 2025","Mar 23, 1989",36,1.91,Cameroon,"['Germany', 'Cameroon']",Centre-Forward,"                0
0     Left Winger
1  Second Striker",New York,,,"Jan 1, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jordan Beyer,403898,€6.00m,"May 27, 2025","May 19, 2000",25,1.87,Germany,[],Centre-Back,,Burnley,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Djibril Sow,212723,€7.50m,"Jun 9, 2025","Feb 6, 1997",28,1.84,Switzerland,[],Central Midfield,,Sevilla FC,,,"Aug 4, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Christoph Baumgartner,324278,€12.00m,"Jun 5, 2025","Aug 1, 1999",26,1.8,Austria,[],Attacking Midfield,,RB Leipzig,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Serge Gnabry,159471,€22.00m,"Jun 5, 2025","Jul 14, 1995",30,1.76,Germany,[],Left Winger,,Bayern Munich,,,"Jul 1, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jamal Musiala,580195,€140.00m,"Jun 5, 2025","Feb 26, 2003",22,1.84,Germany,[],Attacking Midfield,,Bayern Munich,,,"Jul 1, 2020","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kevin Paredes,711517,€7.50m,"Jun 5, 2025","May 7, 2003",22,1.75,United States,"['United States', 'Dominican Republic']",Left Midfield,"                0
0     Left Winger
1  Right Midfield",VfL Wolfsburg,,,"Jan 28, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jan Olschowsky,455922,€500k,"Jun 11, 2025","Nov 18, 2001",23,1.84,Germany,[],Goalkeeper,,Alem. Aachen,,,"Jan 9, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ørjan Nyland,73517,€900k,"Jun 9, 2025","Sep 10, 1990",34,1.92,Norway,[],Goalkeeper,,Sevilla FC,,,"Aug 20, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ozan Kabak,361260,€5.00m,"Jun 5, 2025","Mar 25, 2000",25,1.87,Türkiye,[],Centre-Back,,TSG Hoffenheim,,,"Jul 23, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Arijon Ibrahimovic,744728,€4.00m,"Jun 17, 2025","Dec 11, 2005",19,1.78,Germany,[],Attacking Midfield,,Heidenheim,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Daichi Kamada,356141,€12.00m,"May 30, 2025","Aug 5, 1996",28,1.8,Japan,[],Attacking Midfield,,Crystal Palace,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Rubén Vargas,345886,€7.00m,"Jun 9, 2025","Aug 5, 1998",26,1.79,Switzerland,[],Left Winger,,Sevilla FC,,,"Jan 10, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Koen Casteels,108880,€4.50m,"May 27, 2025","Jun 25, 1992",33,1.97,Belgium,[],Goalkeeper,,Al-Qadsiah,,,"Jul 18, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Manu Koné,624690,€40.00m,"Jun 17, 2025","May 17, 2001",24,1.85,France,[],Central Midfield,,AS Roma,,,"Aug 30, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Josip Brekalo,293169,€3.30m,"Jun 18, 2025","Jun 23, 1998",27,1.75,Croatia,['Croatia'],Left Winger,"                0
0    Right Winger
1  Second Striker",Fiorentina,,,"Jan 28, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mergim Berisha,307924,€3.50m,"Jun 5, 2025","May 11, 1998",27,1.88,Germany,[],Centre-Forward,,TSG Hoffenheim,,,"Aug 30, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mario Götze,74842,€4.00m,"Jun 5, 2025","Jun 3, 1992",33,1.76,Germany,['Germany'],Attacking Midfield,"              0
0  Right Winger
1   Left Winger",E. Frankfurt,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Charles Aránguiz,89701,€800k,"Jun 30, 2025","Apr 17, 1989",36,1.72,Chile,[],Central Midfield,,U. de Chile,,,"Aug 5, 2024","Dec 31, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Yannick Gerhardt,119277,€2.50m,"Jun 5, 2025","Mar 13, 1994",31,1.84,Germany,[],Central Midfield,,VfL Wolfsburg,,,"Jul 1, 2016",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lars Stindl,48298,,,"Aug 26, 1988",36,1.81,Germany,[],Attacking Midfield,,Retired,Karlsruher SC,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Felix Nmecha,406640,€28.00m,"Jun 5, 2025","Oct 10, 2000",24,1.9,Germany,[],Central Midfield,,Bor. Dortmund,,,"Jul 3, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
David Colina,371000,€850k,"Jun 16, 2025","Jul 19, 2000",25,1.74,Croatia,[],Left-Back,,NK Osijek,,,"Jul 26, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Piero Hincapié,659813,€50.00m,"Jun 5, 2025","Jan 9, 2002",23,1.84,Ecuador,[],Centre-Back,,B. Leverkusen,,,"Aug 16, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Joshua Kimmich,161056,€45.00m,"Jun 5, 2025","Feb 8, 1995",30,1.77,Germany,[],Defensive Midfield,,Bayern Munich,,,"Jul 2, 2015","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sébastien Haller,181375,€3.00m,"May 28, 2025","Jun 22, 1994",31,1.9,Cote d'Ivoire,[],Centre-Forward,,Bor. Dortmund,,,"Jul 6, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tuta,546213,€15.00m,"Jun 5, 2025","Jul 4, 1999",26,1.85,Brazil,[],Centre-Back,,E. Frankfurt,,,"Jan 31, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
John Brooks,124732,€500k,"Jun 19, 2025","Jan 28, 1993",32,1.94,United States,[],Centre-Back,,Hertha BSC,,,"Aug 29, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jacob Bruun Larsen,293281,€5.00m,"Jun 5, 2025","Sep 19, 1998",26,1.83,Denmark,[],Left Winger,,Burnley,,,"Jul 11, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Hannes Wolf,321070,€3.50m,"Jun 5, 2025","Apr 16, 1999",26,1.79,Austria,['Austria'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",New York City,,,"Jan 31, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Alexander Hack,126281,€1.00m,"Jun 5, 2025","Sep 8, 1993",31,1.93,Germany,['Germany'],Centre-Back,,New York,,,"Jan 31, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Gregor Kobel,257814,€40.00m,"Jun 5, 2025","Dec 6, 1997",27,1.96,Switzerland,[],Goalkeeper,,Bor. Dortmund,,,"Jul 1, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Hugo Novoa,668276,€1.50m,"Jun 9, 2025","Jan 24, 2003",22,1.82,Spain,['Spain'],Right-Back,"                0
0    Right Winger
1  Centre-Forward",Alavés,,,"Jul 22, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Odilon Kossounou,644771,€25.00m,"Jun 17, 2025","Jan 4, 2001",24,1.91,Cote d'Ivoire,[],Centre-Back,,Atalanta BC,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Silas Ostrzinski,684116,€200k,"Jun 11, 2025","Nov 19, 2003",21,1.98,Germany,[],Goalkeeper,,Bor. Dortmund,,,"Jan 4, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nicolas Cozza,485965,€3.50m,"Jun 3, 2025","Jan 8, 1999",26,1.78,France,[],Left-Back,,FC Nantes,,,"Aug 28, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Josip Stanisic,483046,€32.00m,"Jun 5, 2025","Apr 2, 2000",25,1.87,Croatia,[],Right-Back,,Bayern Munich,,,"Aug 1, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonathan Burkardt,333647,€35.00m,"Jun 5, 2025","Jul 11, 2000",25,1.83,Germany,[],Centre-Forward,,E. Frankfurt,,,"Jul 4, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Christopher Lenz,159844,€500k,"Jun 5, 2025","Sep 22, 1994",30,1.8,Germany,[],Left-Back,,F. Düsseldorf,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kevin Paredes,711517,€7.50m,"Jun 5, 2025","May 7, 2003",22,1.75,United States,[],Left Midfield,,VfL Wolfsburg,,,"Jan 28, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Josko Gvardiol,475959,€75.00m,"May 30, 2025","Jan 23, 2002",23,1.85,Croatia,[],Left-Back,,Man City,,,"Aug 5, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Yvandro Borges Sanches,586659,€500k,"Jun 5, 2025","May 24, 2004",21,1.8,Luxembourg,[],Left Winger,,Bor. M'gladbach,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tanguy Nianzou,538996,€1.50m,"Jun 9, 2025","Jun 7, 2002",23,1.91,France,[],Centre-Back,,Sevilla FC,,,"Aug 17, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jude Bellingham,581678,€180.00m,"Jun 9, 2025","Jun 29, 2003",22,1.86,England,[],Attacking Midfield,,Real Madrid,,,"Jul 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Torben Müsel,368860,€300k,"Jun 11, 2025","Jul 25, 1999",26,1.85,Germany,[],Attacking Midfield,,RW Essen,,,"Jan 30, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Callum Hudson-Odoi,392768,€25.00m,"May 30, 2025","Nov 7, 2000",24,1.78,England,"['England', 'Ghana']",Left Winger,"                    0
0        Right Winger
1  Attacking Midfield",Forest,,,"Sep 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Thorgan Hazard,102226,€2.50m,"Jun 12, 2025","Mar 29, 1993",32,1.75,Belgium,[],Left Winger,,RSC Anderlecht,,,"Sep 6, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Karim Bellarabi,61087,,,"Apr 8, 1990",35,1.84,Germany,"['Germany', 'Morocco']",Right Winger,"                0
0     Left Winger
1  Second Striker",Retired,B. Leverkusen,"Jul 1, 2023",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Finn Dahmen,251299,€9.00m,"Jun 5, 2025","Mar 27, 1998",27,1.86,Germany,"['Germany', 'England']",Goalkeeper,,FC Augsburg,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Benjamin Pavard,353366,€25.00m,"Jun 17, 2025","Mar 28, 1996",29,1.86,France,[],Centre-Back,,Inter,,,"Aug 30, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Aurélio Buta,258039,€5.00m,"Jun 3, 2025","Feb 10, 1997",28,1.72,Portugal,"['Angola', 'Portugal']",Right-Back,"                0
0  Right Midfield",E. Frankfurt,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tom Bischof,822959,€30.00m,"Jun 5, 2025","Jun 28, 2005",20,1.76,Germany,['Germany'],Central Midfield,"                    0
0  Attacking Midfield
1      Right Midfield",Bayern Munich,,,"Jun 9, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Niklas Lomb,85543,€250k,"Jun 5, 2025","Jul 28, 1993",32,1.86,Germany,[],Goalkeeper,,B. Leverkusen,,,"Jul 1, 2012","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marcel Halstenberg,70243,,,"Sep 27, 1991",33,1.88,Germany,[],Centre-Back,,Germ. Grasdorf,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Raphael Framberger,146163,,,"Sep 6, 1995",29,1.79,Germany,[],Right-Back,,Retired,FC Augsburg II,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
João Cancelo,182712,€15.00m,"May 27, 2025","May 27, 1994",31,1.82,Portugal,[],Right-Back,,Al-Hilal,,,"Aug 27, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Maxence Lacroix,434224,€25.00m,"May 30, 2025","Apr 6, 2000",25,1.9,France,[],Centre-Back,,Crystal Palace,,,"Aug 30, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Philipp Max,111275,€1.00m,"May 23, 2025","Sep 30, 1993",31,1.77,Germany,[],Left-Back,,Panathinaikos,,,"Aug 5, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Anderson Lucoqui,240274,€275k,"Jun 11, 2025","Jul 6, 1997",28,1.81,Angola,[],Left-Back,,Without Club,1860 Munich,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Noah Sarenren Bazee,283001,€400k,"Jun 11, 2025","Aug 21, 1996",28,1.83,Germany,[],Right Winger,,Arm. Bielefeld,,,"Aug 31, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Randal Kolo Muani,487969,€30.00m,"Jun 17, 2025","Dec 5, 1998",26,1.87,France,"['France', 'DR Congo']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Paris SG,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Robert Gumny,353826,€1.50m,"Jun 5, 2025","Jun 4, 1998",27,1.82,Poland,[],Right-Back,,Lech Poznan,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ramy Bensebaini,284732,€7.00m,"Jun 5, 2025","Apr 16, 1995",30,1.87,Algeria,[],Left-Back,,Bor. Dortmund,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nelson Weiper,796213,€10.00m,"Jun 5, 2025","Mar 17, 2005",20,1.92,Germany,[],Centre-Forward,,1.FSV Mainz 05,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Robert Andrich,159088,€9.00m,"Jun 5, 2025","Sep 22, 1994",30,1.87,Germany,[],Defensive Midfield,,B. Leverkusen,,,"Aug 16, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Moussa Diaby,395516,€30.00m,"May 27, 2025","Jul 7, 1999",26,1.7,France,[],Right Winger,,Al-Ittihad,,,"Jul 24, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Stefan Posch,223974,€8.00m,"Jun 17, 2025","May 14, 1997",28,1.9,Austria,[],Centre-Back,,Bologna,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Patrick Wimmer,533295,€15.00m,"Jun 5, 2025","May 30, 2001",24,1.82,Austria,[],Right Winger,,VfL Wolfsburg,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Emil Forsberg,111078,€3.00m,"Jun 5, 2025","Oct 23, 1991",33,1.77,Sweden,[],Left Winger,,New York,,,"Jan 31, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mitchel Bakker,361065,€7.00m,"Jun 3, 2025","Jun 20, 2000",25,1.89,Netherlands,[],Left-Back,,Atalanta BC,,,"Jul 7, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Janis Blaswich,81173,€700k,"Jun 6, 2025","May 2, 1991",34,1.93,Germany,[],Goalkeeper,,RB Leipzig,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ermedin Demirovic,335457,€22.00m,"Jun 5, 2025","Mar 25, 1998",27,1.85,Bosnia-Herzegovina,[],Centre-Forward,,VfB Stuttgart,,,"Jul 16, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Giovanni Reyna,504215,€7.00m,"Jun 5, 2025","Nov 13, 2002",22,1.85,United States,[],Attacking Midfield,,Bor. Dortmund,,,"Jan 12, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Paulinho,428791,€16.00m,"Jun 6, 2025","Jul 15, 2000",25,1.77,Brazil,[],Left Winger,,Palmeiras,,,"Jan 1, 2025","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Joshua Quarshie,790918,€3.00m,"Jun 19, 2025","Jul 26, 2004",21,1.96,Germany,[],Centre-Back,,Southampton,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Maximilian Philipp,143891,€800k,"Jun 5, 2025","Mar 1, 1994",31,1.83,Germany,[],Second Striker,,SC Freiburg,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marlon Mustapha,532495,€600k,"Jun 6, 2025","May 24, 2001",24,1.85,Austria,[],Centre-Forward,,SCR Altach,,,"Feb 5, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Amadou Haidara,402008,€16.00m,"Jun 5, 2025","Jan 31, 1998",27,1.78,Mali,['Mali'],Central Midfield,"                    0
0  Defensive Midfield
1      Right Midfield",RB Leipzig,,,"Jan 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Emre Can,119296,€7.00m,"Jun 5, 2025","Jan 12, 1994",31,1.86,Germany,"['Germany', 'Türkiye']",Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Bor. Dortmund,,,"Jul 1, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
